YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,TAXI_OUT,ELAPSED_TIME,AIR_TIME,WHEELS_ON,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,B6,2134,N307JB,SJU,MCO,0400,0535,9,175,163,0727,0605,0,0,,0,0,85,0,0
2015,1,1,4,B6,730,N621JB,BQN,MCO,0419,0423,11,163,148,0602,0613,0,0,,,,,,
2015,1,1,4,B6,768,N317JB,PSE,MCO,0424,0413,24,196,166,0623,0630,0,0,,,,,,
2015,1,1,4,B6,2276,N646JB,SJU,BDL,0438,0550,15,258,237,0902,0739,0,0,,17,0,72,0,0
2015,1,1,4,US,602,N197UW,ORD,PHX,0500,0459,12,232,214,0745,0748,0,0,,,,,,
2015,1,1,4,AS,695,N607AS,GEG,SEA,0500,0456,22,74,39,0557,0610,0,0,,,,,,
2015,1,1,4,HA,102,N492HA,HNL,ITO,0500,0452,10,51,35,0537,0549,0,0,,,,,,
2015,1,1,4,OO,5467,N701BR,ONT,SFO,0500,0513,19,85,61,0633,0629,0,0,,,,,,
2015,1,1,4,HA,108,N476HA,HNL,KOA,0502,0501,12,48,30,0543,0544,0,0,,,,,,
2015,1,1,4,AS,730,N423AS,ANC,SEA,0505,0457,16,199,179,0912,0930,0,0,,,,,,
2015,1,1,4,HA,206,N484HA,HNL,OGG,0505,0454,10,36,20,0524,0541,0,0,,,,,,
2015,1,1,4,UA,1500,N30401,ORD,IAH,0510,0514,23,182,147,0804,0805,0,0,,,,,,
2015,1,1,4,AA,1323,N3CXAA,MCO,MIA,0510,0507,14,55,38,0559,0613,0,0,,,,,,
2015,1,1,4,NK,103,N616NK,BOS,MYR,0510,0506,16,134,112,0714,0730,0,0,,,,,,
2015,1,1,4,OO,7404,N8982A,HIB,MSP,0510,0500,37,78,35,0612,0618,0,0,,,,,,
2015,1,1,4,OO,7419,N445SW,ABR,MSP,0510,0508,21,67,41,0610,0619,0,0,,,,,,
